model,family,best_epoch,validation_pr_auc,roc_auc,pr_auc,brier_score,checkpoint_path,history_path,holdout_prediction_path,score_column,config
catboost,baseline,,,0.964897,0.71145,0.048189,artifacts/deterioration_model.cbm,,artifacts/holdout_predictions.csv,risk_score,"{""loss_function"": ""Logloss"", ""eval_metric"": ""AUC"", ""iterations"": 457, ""depth"": 7, ""learning_rate"": 0.05, ""auto_class_weights"": ""Balanced"", ""random_strength"": 0.5, ""l2_leaf_reg"": 5.0, ""random_seed"": 42}"
catboost_best_deep_average,ensemble,,,0.962655,0.708281,0.055616,,,artifacts/deep_models/ensemble_holdout_predictions.csv,catboost_best_deep_average,
catboost_top2_deep_average,ensemble,,,0.961932,0.705606,0.053923,,,artifacts/deep_models/ensemble_holdout_predictions.csv,catboost_top2_deep_average,
deep_average_top3,ensemble,,,0.956339,0.669966,0.062015,,,artifacts/deep_models/ensemble_holdout_predictions.csv,deep_average_top3,
deep_average_top2,ensemble,,,0.95495,0.668724,0.062073,,,artifacts/deep_models/ensemble_holdout_predictions.csv,deep_average_top2,
transformer_encoder,deep,6.0,0.686946,0.951335,0.654732,0.074196,artifacts/deep_models/transformer_encoder.pt,artifacts/deep_models/transformer_encoder_history.csv,artifacts/deep_models/transformer_encoder_holdout_predictions.csv,risk_score,"{""max_seq_len"": 24, ""d_model"": 96, ""num_heads"": 4, ""num_layers"": 2, ""dropout"": 0.15, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}"
transformer_encoder_wide,deep,7.0,0.683207,0.950197,0.651712,0.05944,artifacts/deep_models/transformer_encoder_wide.pt,artifacts/deep_models/transformer_encoder_wide_history.csv,artifacts/deep_models/transformer_encoder_wide_holdout_predictions.csv,risk_score,"{""max_seq_len"": 36, ""d_model"": 128, ""num_heads"": 8, ""num_layers"": 3, ""dropout"": 0.1, ""batch_size"": 192, ""learning_rate"": 0.0005, ""weight_decay"": 5e-05, ""epochs"": 12, ""patience"": 3, ""scheduler_name"": ""cosine""}"
transformer_encoder_long,deep,2.0,0.679173,0.952318,0.64588,0.069003,artifacts/deep_models/transformer_encoder_long.pt,artifacts/deep_models/transformer_encoder_long_history.csv,artifacts/deep_models/transformer_encoder_long_holdout_predictions.csv,risk_score,"{""max_seq_len"": 48, ""d_model"": 160, ""num_heads"": 8, ""num_layers"": 4, ""dropout"": 0.1, ""batch_size"": 128, ""learning_rate"": 0.00035, ""weight_decay"": 5e-05, ""epochs"": 14, ""patience"": 4, ""scheduler_name"": ""cosine""}"
gru_attention,deep,1.0,0.668134,0.954016,0.614848,0.068123,artifacts/deep_models/gru_attention.pt,artifacts/deep_models/gru_attention_history.csv,artifacts/deep_models/gru_attention_holdout_predictions.csv,risk_score,"{""hidden_size"": 96, ""num_layers"": 2, ""dropout"": 0.2, ""max_seq_len"": 24, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}"
deep_average_all,ensemble,,,0.953154,0.605853,0.066731,,,artifacts/deep_models/ensemble_holdout_predictions.csv,deep_average_all,
tcn,deep,4.0,0.441989,0.854348,0.363498,0.147328,artifacts/deep_models/tcn.pt,artifacts/deep_models/tcn_history.csv,artifacts/deep_models/tcn_holdout_predictions.csv,risk_score,"{""channels"": [64, 64, 64], ""kernel_size"": 3, ""dropout"": 0.15, ""max_seq_len"": 24, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}"
