model,family,best_epoch,validation_pr_auc,roc_auc,pr_auc,brier_score,checkpoint_path,history_path,holdout_prediction_path,score_column,config,holdout_positive_rate,watch_threshold,watch_precision,watch_recall,watch_f1,alert_threshold,alert_precision,alert_recall,alert_f1
catboost,baseline,,,0.964897,0.71145,0.048189,artifacts/deterioration_model.cbm,,artifacts/holdout_predictions.csv,risk_score,"{""loss_function"": ""Logloss"", ""eval_metric"": ""AUC"", ""iterations"": 457, ""depth"": 7, ""learning_rate"": 0.05, ""auto_class_weights"": ""Balanced"", ""random_strength"": 0.5, ""l2_leaf_reg"": 5.0, ""random_seed"": 42}",0.052497,0.452496,0.419406,0.850175,0.56171,0.842342,0.734413,0.67963,0.70596
catboost_best_deep_average,ensemble,,,0.962655,0.708281,0.055616,,,artifacts/deep_models/ensemble_holdout_predictions.csv,catboost_best_deep_average,,0.052497,0.488329,0.395991,0.850175,0.540316,0.885478,0.74865,0.662735,0.703077
catboost_top2_deep_average,ensemble,,,0.961932,0.705606,0.053923,,,artifacts/deep_models/ensemble_holdout_predictions.csv,catboost_top2_deep_average,,0.052497,0.459856,0.386018,0.850175,0.530958,0.843333,0.708143,0.693019,0.700499
deep_average_top3,ensemble,,,0.956339,0.669969,0.062015,,,artifacts/deep_models/ensemble_holdout_predictions.csv,deep_average_top3,,0.052497,0.456299,0.352591,0.850175,0.498458,0.900391,0.655422,0.662735,0.659058
deep_average_top2,ensemble,,,0.95495,0.668709,0.062073,,,artifacts/deep_models/ensemble_holdout_predictions.csv,deep_average_top2,,0.052497,0.449341,0.34404,0.850175,0.489852,0.910889,0.667208,0.654447,0.660766
transformer_encoder,deep,6.0,0.686946,0.951335,0.654732,0.074196,artifacts/deep_models/transformer_encoder.pt,artifacts/deep_models/transformer_encoder_history.csv,artifacts/deep_models/transformer_encoder_holdout_predictions.csv,risk_score,"{""max_seq_len"": 24, ""d_model"": 96, ""num_heads"": 4, ""num_layers"": 2, ""dropout"": 0.15, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}",0.052497,0.507812,0.32744,0.850175,0.472789,0.938965,0.669472,0.634045,0.651277
transformer_encoder_wide,deep,7.0,0.683207,0.950197,0.651712,0.05944,artifacts/deep_models/transformer_encoder_wide.pt,artifacts/deep_models/transformer_encoder_wide_history.csv,artifacts/deep_models/transformer_encoder_wide_holdout_predictions.csv,risk_score,"{""max_seq_len"": 36, ""d_model"": 128, ""num_heads"": 8, ""num_layers"": 3, ""dropout"": 0.1, ""batch_size"": 192, ""learning_rate"": 0.0005, ""weight_decay"": 5e-05, ""epochs"": 12, ""patience"": 3, ""scheduler_name"": ""cosine""}",0.052497,0.390381,0.327521,0.850175,0.472872,0.90918,0.63684,0.657953,0.647225
transformer_encoder_long,deep,2.0,0.679173,0.952318,0.64588,0.069003,artifacts/deep_models/transformer_encoder_long.pt,artifacts/deep_models/transformer_encoder_long_history.csv,artifacts/deep_models/transformer_encoder_long_holdout_predictions.csv,risk_score,"{""max_seq_len"": 48, ""d_model"": 160, ""num_heads"": 8, ""num_layers"": 4, ""dropout"": 0.1, ""batch_size"": 128, ""learning_rate"": 0.00035, ""weight_decay"": 5e-05, ""epochs"": 14, ""patience"": 4, ""scheduler_name"": ""cosine""}",0.052497,0.486816,0.341616,0.850175,0.48739,0.92041,0.627943,0.654766,0.641074
gru_attention,deep,1.0,0.668134,0.954016,0.614848,0.068123,artifacts/deep_models/gru_attention.pt,artifacts/deep_models/gru_attention_history.csv,artifacts/deep_models/gru_attention_holdout_predictions.csv,risk_score,"{""hidden_size"": 96, ""num_layers"": 2, ""dropout"": 0.2, ""max_seq_len"": 24, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}",0.052497,0.48877,0.34881,0.850175,0.494668,0.890625,0.637406,0.620338,0.628756
deep_average_all,ensemble,,,0.953154,0.605851,0.066731,,,artifacts/deep_models/ensemble_holdout_predictions.csv,deep_average_all,,0.052497,0.480469,0.357172,0.850175,0.503018,0.810938,0.612052,0.679949,0.644216
tcn,deep,4.0,0.441989,0.854348,0.363498,0.147328,artifacts/deep_models/tcn.pt,artifacts/deep_models/tcn_history.csv,artifacts/deep_models/tcn_holdout_predictions.csv,risk_score,"{""channels"": [64, 64, 64], ""kernel_size"": 3, ""dropout"": 0.15, ""max_seq_len"": 24, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}",0.052497,0.416992,0.124076,0.851132,0.21658,0.883789,0.509899,0.336627,0.40553
