feature,importance
hour_from_admission,4.6446350409830295
lactate_delta_3,3.2262723786348384
spo2_pct,2.8749278559689255
shock_index,2.5153464658559503
lactate_delta_6,2.3748070354418034
spo2_deficit,2.341083767151147
respiratory_rate,2.1498163142401463
creatinine_delta_3,2.1210220545924705
lactate,2.0453576567640708
tachypnea_excess,2.028801352542165
age,1.9992589915550738
comorbidity_index,1.9402770391554913
crp_level_delta_6,1.8034704228239602
systolic_bp,1.6370684436331402
respiratory_rate_roll_mean_3,1.6102106341158016
oxygen_flow_roll_mean_6,1.5843725911465472
shock_index_roll_mean_3,1.2726268350726477
creatinine_delta_6,1.1903571008474485
wbc_count_delta_3,1.1730649938047617
mobility_score,1.051230408214969
spo2_pct_delta_6,1.0446102591222963
crp_level_delta_3,1.0253886003807986
crp_level,1.0151440915176144
respiratory_rate_lag_1,0.9995458429817231
lactate_roll_std_12,0.9840813073686016
respiratory_rate_roll_mean_6,0.9784622367807274
creatinine_delta_1,0.9553427119543018
crp_level_roll_std_12,0.8951553936865104
wbc_count_delta_6,0.8446626466292511
spo2_pct_lag_1,0.8324905860477476
lactate_delta_1,0.8048318455178746
creatinine_roll_std_12,0.7926617656846929
systolic_bp_roll_mean_3,0.7751427365609873
respiratory_rate_roll_mean_12,0.768245899965162
shock_index_delta_3,0.7501676843873514
lactate_roll_mean_3,0.7420355032707043
hemoglobin_delta_6,0.7048670409625438
shock_index_delta_6,0.7002655752837647
lactate_roll_mean_6,0.697663746438492
spo2_pct_delta_3,0.6755706536994248
mobility_score_prev,0.6644292596774237
shock_index_roll_std_12,0.6433880235769367
wbc_count_roll_mean_3,0.640006714387664
wbc_count_roll_mean_12,0.6373385030772516
systolic_bp_lag_1,0.6303480149068176
temperature_c_roll_mean_12,0.6217162638591083
hemoglobin_roll_mean_12,0.6183758297196787
spo2_pct_roll_mean_3,0.616974307742785
tachycardia_excess,0.6169459016783215
creatinine,0.5968479076890975
wbc_count_roll_mean_6,0.5942311184521255
wbc_count_roll_std_12,0.5818384759072264
systolic_bp_roll_std_12,0.5576421443667101
crp_level_delta_1,0.5515629992830199
wbc_count,0.5477819337898971
respiratory_rate_delta_6,0.5420040836955742
wbc_count_delta_1,0.5365636667300461
respiratory_rate_roll_std_12,0.535779724935984
mean_arterial_pressure_roll_std_12,0.5327128651561167
heart_rate_roll_mean_6,0.5194508837325538
shock_index_lag_1,0.5191909407140269
diastolic_bp_roll_mean_12,0.5164616130387975
oxygen_flow_roll_mean_3,0.5163398168692195
systolic_bp_roll_mean_12,0.5146462501900975
crp_level_roll_mean_3,0.5059052558141816
crp_level_roll_mean_12,0.5046010125410216
spo2_pct_delta_1,0.49960409433792485
creatinine_lag_1,0.4876232484186965
hemoglobin_roll_mean_6,0.48519191301529896
respiratory_rate_lag_3,0.4740876934976278
temperature_c_roll_mean_6,0.46271734216096344
heart_rate,0.462141834879909
pulse_pressure,0.45796599236892854
hemoglobin_delta_3,0.45368583515926786
systolic_bp_roll_mean_6,0.44807583221092395
spo2_pct_roll_mean_6,0.417890163431382
shock_index_roll_mean_12,0.4149124386572038
spo2_pct_roll_mean_12,0.4076482756152547
creatinine_roll_mean_3,0.40517337087133815
shock_index_roll_mean_6,0.3997364055755123
diastolic_bp_roll_mean_6,0.3886434395200086
diastolic_bp_roll_mean_3,0.3876249903488773
mean_arterial_pressure_delta_3,0.38466328757328005
creatinine_roll_mean_12,0.38408486820106846
crp_level_lag_3,0.37844234813626987
heart_rate_roll_mean_3,0.3728233510374476
spo2_pct_lag_6,0.35136037767122663
shock_index_delta_1,0.3459315679477069
creatinine_roll_std_6,0.342939524848478
heart_rate_roll_mean_12,0.3412475169030101
temperature_c_roll_mean_3,0.33379149324469776
hemoglobin_roll_mean_3,0.31971781873820315
diastolic_bp_roll_std_12,0.31778226613569927
spo2_pct_roll_std_12,0.30850404074291726
lactate_roll_mean_12,0.3078585420133635
heart_rate_delta_6,0.3076631988464077
temperature_c_delta_6,0.3005169574852062
diastolic_bp,0.2973108374890104
temperature_c,0.29404412966805915
gender,0.29325429338995496
respiratory_rate_delta_3,0.2915811084807575
oxygen_flow_roll_mean_12,0.29010113458374115
temperature_c_delta_3,0.28882880631725827
lactate_lag_1,0.28142816919571906
hemoglobin_roll_std_12,0.2787442726873474
lactate_roll_std_6,0.26993569661547434
temperature_c_roll_std_12,0.26330858722151707
wbc_count_lag_1,0.2616435174362636
shock_index_lag_6,0.25722087589691833
hemoglobin_delta_1,0.25530849861898947
systolic_bp_lag_6,0.2519183163374644
crp_level_roll_mean_6,0.24932913101389786
crp_level_lag_6,0.2446233637253745
mean_arterial_pressure_lag_1,0.24320952396270534
admission_type,0.2424288123918607
oxygen_flow_lag_1,0.24081782669500526
systolic_bp_delta_6,0.23616403516289772
hemoglobin_lag_3,0.2359767906831775
heart_rate_roll_std_12,0.23476459893951768
mean_arterial_pressure_delta_1,0.22354885820720777
oxygen_flow_lag_3,0.22324539576823782
hemoglobin_lag_1,0.22222372939250917
temperature_c_lag_6,0.22058817544645382
crp_level_roll_std_6,0.21954728312564079
mean_arterial_pressure_delta_6,0.21129273577672217
