model,family,config,screen_train_pr_auc_mean,screen_val_pr_auc_mean,screen_val_pr_auc_std,screen_val_roc_auc_mean,screen_val_brier_mean,screen_overfit_gap,screen_rank_score,suggested_iterations,final_iterations,refit_train_pr_auc,calibration_pr_auc,calibration_roc_auc,calibration_brier,refit_overfit_gap,holdout_pr_auc,holdout_roc_auc,holdout_brier,holdout_prediction_path,calibration_prediction_path,checkpoint_path,score_column,source_file,pr_auc,roc_auc,brier_score
focused_subsample_lr0048_iter1450,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_round2_results.csv,0.7396128871401634,0.9630869229234396,0.0279038392646778
focused_subsample_lr0045_iter1600,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_round3_results.csv,0.7372035093566706,0.9634019603757936,0.0278331520585518
focused_subsample_lr0047_iter1500,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_round3_results.csv,0.7365523229550008,0.9639523117468524,0.0276857974238386
focused_subsample_l2_7_sub088,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_results.csv,0.7364206325631213,0.9629245368953674,0.0284903865058598
focused_subsample_lr004_iter1700,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_results.csv,0.7360825152353301,0.9636817753403998,0.0278116205438154
focused_subsample_lr0048_sub089_iter1450,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_round3_results.csv,0.7359284170885038,0.9635724088403196,0.0281252066495814
focused_subsample_lr0045_iter1500,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_results.csv,0.7359110069463526,0.9636660051696544,0.0278980553883692
focused_subsample_l2_7_sub090,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_round2_results.csv,0.7345187770560146,0.9641048505672726,0.0285417021167665
repo_catboost_subsample_fulltrain,,,,,,,,,,,,,,,,,,,,,,,,focused_fulltrain_results.csv,0.7329526120839961,0.9629661327616524,0.0286405012412535
focused_subsample_l2_8_sub088,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_round2_results.csv,0.7328702729598586,0.963083848838032,0.0286581118342443
catboost_gpu_subsample_train80_saved_repo,,,,,,,,,,,,,,,,,,,,,,,,repo_saved_artifact,0.732291,0.962099,0.027866
focused_lowlr_bern085_iter1800,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_results.csv,0.7306488740959473,0.9634356683416098,0.029817864251322
repo_catboost_low_lr_fulltrain,,,,,,,,,,,,,,,,,,,,,,,,focused_fulltrain_results.csv,0.7298323520931906,0.964477687581522,0.031898005945688
focused_depth7_lr0035_iter1700,,,,,,,,,,,,,,,,,,,,,,,,focused_subsample_results.csv,0.7265075844652132,0.9641629879407514,0.0336037999908274
repo_catboost_base_fulltrain,,,,,,,,,,,,,,,,,,,,,,,,focused_fulltrain_results.csv,0.7230127116242616,0.9627530186941607,0.0343991532223243
manual_cpu_conservative_fulltrain,,,,,,,,,,,,,,,,,,,,,,,,focused_fulltrain_results.csv,0.7062167355696487,0.9639419634520184,0.0455044985048163
repo_catboost_low_lr_plus_random_catboost_03,catboost_weighted_average,"{""random_catboost_03"": 0.1, ""repo_catboost_low_lr"": 0.9}",,,,,,,,,,,0.732898,,,,0.699611,0.963799,0.056387,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr_plus_random_catboost_03_holdout_predictions.csv,,,,ensemble_results.csv,0.699611,0.963799,0.056387
repo_catboost_low_lr,repo_existing_search,"{""bagging_temperature"": 0.8, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 8, ""iterations"": 2000, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.025, ""random_strength"": 0.4}",0.815145,0.587073,0.0,0.943619,0.052712,0.228072,0.507248,139.0,458.0,0.801855,0.73282,0.969277,0.052447,0.069036,0.699236,0.963682,0.056092,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr_holdout_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr_calibration_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr.cbm,risk_score,finalist_holdout_results.csv,0.699236,0.963682,0.056092
repo_catboost_low_lr_logistic_stack,catboost_logistic_stack,"{""intercept"": -3.395555, ""weights"": {""random_catboost_03"": 2.096812, ""repo_catboost_low_lr"": 1.752895, ""repo_train_model_baseline"": 3.594726}}",,,,,,,,,,,0.736676,,,,0.697816,0.963762,0.065335,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr_logistic_stack_holdout_predictions.csv,,,,ensemble_results.csv,0.697816,0.963762,0.065335
repo_catboost_low_lr_plus_top3,catboost_weighted_average,"{""random_catboost_03"": 0.0, ""repo_catboost_low_lr"": 0.5, ""repo_train_model_baseline"": 0.5}",,,,,,,,,,,0.737895,,,,0.697242,0.963687,0.056978,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr_plus_top3_holdout_predictions.csv,,,,ensemble_results.csv,0.697242,0.963687,0.056978
random_catboost_03,random_search,"{""bootstrap_type"": ""MVS"", ""border_count"": 254, ""depth"": 5, ""iterations"": 1361, ""l2_leaf_reg"": 11.783834970737619, ""learning_rate"": 0.0689830655621721, ""random_strength"": 0.4308858033483449, ""rsm"": 0.8400163011181102, ""subsample"": 0.7300748661310625}",0.720742,0.570908,0.0,0.947362,0.062026,0.149835,0.518466,88.0,368.0,0.773284,0.726909,0.968896,0.058039,0.046376,0.697084,0.963241,0.060591,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/random_catboost_03_holdout_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/random_catboost_03_calibration_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/random_catboost_03.cbm,risk_score,finalist_holdout_results.csv,0.697084,0.963241,0.060591
random_catboost_03_fulltrain,,,,,,,,,,,,,,,,,,,,,,,,focused_fulltrain_results.csv,0.6959831606287181,0.9641791465948172,0.0575623184502024
repo_train_model_baseline,repo_baseline,"{""depth"": 7, ""iterations"": 800, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",0.730089,0.555423,0.0,0.936871,0.06653,0.174666,0.49429,53.0,260.0,0.786346,0.740878,0.969521,0.055155,0.045468,0.693014,0.962905,0.058496,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_train_model_baseline_holdout_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_train_model_baseline_calibration_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_train_model_baseline.cbm,risk_score,finalist_holdout_results.csv,0.693014,0.962905,0.058496
repo_catboost_base,repo_existing_search,"{""bagging_temperature"": 0.5, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 7, ""iterations"": 1200, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",0.758897,0.576156,0.0,0.944279,0.060167,0.182741,0.512197,72.0,264.0,0.778299,0.726285,0.968939,0.056201,0.052014,0.692781,0.962644,0.059866,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_base_holdout_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_base_calibration_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_base.cbm,risk_score,finalist_holdout_results.csv,0.692781,0.962644,0.059866
manual_cpu_conservative,manual_expanded,"{""bootstrap_type"": ""Bernoulli"", ""border_count"": 254, ""depth"": 6, ""iterations"": 1600, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03, ""random_strength"": 1.1, ""rsm"": 0.85, ""subsample"": 0.82}",0.673701,0.557477,0.0,0.9442,0.071625,0.116224,0.516798,112.0,645.0,0.766499,0.72344,0.969573,0.05799,0.043058,0.689936,0.963536,0.060984,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/manual_cpu_conservative_holdout_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/manual_cpu_conservative_calibration_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/manual_cpu_conservative.cbm,risk_score,finalist_holdout_results.csv,0.689936,0.963536,0.060984
random_catboost_00,random_search,"{""bagging_temperature"": 1.4178235231845648, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 8, ""iterations"": 1906, ""l2_leaf_reg"": 10.973680290593638, ""learning_rate"": 0.06575934093346696, ""random_strength"": 0.2601014914090042, ""rsm"": 0.9926867054910268}",0.776282,0.577095,0.0,0.94471,0.057471,0.199187,0.507379,48.0,209.0,0.787242,0.722448,0.967817,0.053897,0.064793,0.689629,0.962704,0.057569,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/random_catboost_00_holdout_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/random_catboost_00_calibration_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/random_catboost_00.cbm,risk_score,finalist_holdout_results.csv,0.689629,0.962704,0.057569
repo_catboost_subsample,repo_existing_search,"{""bootstrap_type"": ""Bernoulli"", ""border_count"": 254, ""depth"": 8, ""iterations"": 1300, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.05, ""random_strength"": 0.7, ""subsample"": 0.85}",0.765228,0.543938,0.0,0.93951,0.060282,0.221291,0.466486,55.0,147.0,0.756585,0.72147,0.968695,0.058913,0.035115,0.684353,0.96257,0.06315,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_subsample_holdout_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_subsample_calibration_predictions.csv,D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_subsample.cbm,risk_score,finalist_holdout_results.csv,0.684353,0.96257,0.06315
