model,family,holdout_pr_auc,holdout_roc_auc,holdout_brier,source,calibration_pr_auc,config,holdout_prediction_path
catboost_gpu_subsample_train80,repo_saved::catboost_retrain80,0.732291,0.962099,0.027866,saved_repo_artifacts,,,
catboost,repo_saved::baseline,0.71145,0.964897,0.048189,saved_repo_artifacts,,,
catboost_best_deep_average,repo_saved::ensemble,0.708281,0.962655,0.055616,saved_repo_artifacts,,,
catboost_gpu_subsample_plus_top2_transformers,repo_saved::weighted_ensemble,0.707092,0.963967,0.051957,saved_repo_artifacts,,,
catboost_gpu_subsample_plus_transformer_encoder_wide,repo_saved::weighted_ensemble,0.707029,0.963881,0.050907,saved_repo_artifacts,,,
catboost_gpu_subsample_logistic_stack,repo_saved::stacking,0.70663,0.964057,0.061504,saved_repo_artifacts,,,
catboost_top2_deep_average,repo_saved::ensemble,0.705606,0.961932,0.053923,saved_repo_artifacts,,,
catboost_gpu_subsample_plus_transformer_encoder,repo_saved::weighted_ensemble,0.705305,0.963737,0.05408,saved_repo_artifacts,,,
catboost_gpu_subsample_plus_transformer_encoder_long,repo_saved::weighted_ensemble,0.703124,0.964111,0.053578,saved_repo_artifacts,,,
catboost_gpu_subsample,repo_saved::catboost_search,0.70249,0.963532,0.052735,saved_repo_artifacts,,,
catboost_gpu_low_lr,repo_saved::catboost_search,0.700788,0.963762,0.056565,saved_repo_artifacts,,,
catboost_gpu_deep,repo_saved::catboost_search,0.700041,0.963541,0.055606,saved_repo_artifacts,,,
repo_catboost_low_lr_plus_random_catboost_03,catboost_weighted_average,0.699611,0.963799,0.056387,revalidated_cpu_search,0.732898,"{""random_catboost_03"": 0.1, ""repo_catboost_low_lr"": 0.9}",D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr_plus_random_catboost_03_holdout_predictions.csv
catboost_gpu_base,repo_saved::catboost_search,0.699584,0.963021,0.059035,saved_repo_artifacts,,,
repo_catboost_low_lr,repo_existing_search,0.699236,0.963682,0.056092,revalidated_cpu_search,,,
repo_catboost_low_lr_logistic_stack,catboost_logistic_stack,0.697816,0.963762,0.065335,revalidated_cpu_search,0.736676,"{""intercept"": -3.395555, ""weights"": {""random_catboost_03"": 2.096812, ""repo_catboost_low_lr"": 1.752895, ""repo_train_model_baseline"": 3.594726}}",D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr_logistic_stack_holdout_predictions.csv
repo_catboost_low_lr_plus_top3,catboost_weighted_average,0.697242,0.963687,0.056978,revalidated_cpu_search,0.737895,"{""random_catboost_03"": 0.0, ""repo_catboost_low_lr"": 0.5, ""repo_train_model_baseline"": 0.5}",D:/nexus 2026/Patient-Deterioration-Prediction-System/artifacts/model_search_revalidated_20260326/repo_catboost_low_lr_plus_top3_holdout_predictions.csv
random_catboost_03,random_search,0.697084,0.963241,0.060591,revalidated_cpu_search,,,
repo_train_model_baseline,repo_baseline,0.693014,0.962905,0.058496,revalidated_cpu_search,,,
repo_catboost_base,repo_existing_search,0.692781,0.962644,0.059866,revalidated_cpu_search,,,
catboost_gpu_regularized,repo_saved::catboost_search,0.690013,0.96316,0.061425,saved_repo_artifacts,,,
manual_cpu_conservative,manual_expanded,0.689936,0.963536,0.060984,revalidated_cpu_search,,,
random_catboost_00,random_search,0.689629,0.962704,0.057569,revalidated_cpu_search,,,
repo_catboost_subsample,repo_existing_search,0.684353,0.96257,0.06315,revalidated_cpu_search,,,
catboost_gpu_fast,repo_saved::catboost_search,0.680233,0.960847,0.069239,saved_repo_artifacts,,,
deep_average_top3,repo_saved::ensemble,0.669966,0.956339,0.062015,saved_repo_artifacts,,,
deep_average_top2,repo_saved::ensemble,0.668724,0.95495,0.062073,saved_repo_artifacts,,,
transformer_encoder,repo_saved::deep_existing,0.654732,0.951335,0.074196,saved_repo_artifacts,,,
transformer_encoder,repo_saved::deep,0.654732,0.951335,0.074196,saved_repo_artifacts,,,
transformer_encoder_wide,repo_saved::deep_existing,0.651712,0.950197,0.05944,saved_repo_artifacts,,,
transformer_encoder_wide,repo_saved::deep,0.651712,0.950197,0.05944,saved_repo_artifacts,,,
transformer_encoder_long,repo_saved::deep_existing,0.64588,0.952318,0.069003,saved_repo_artifacts,,,
transformer_encoder_long,repo_saved::deep,0.64588,0.952318,0.069003,saved_repo_artifacts,,,
gru_attention,repo_saved::deep_existing,0.614848,0.954016,0.068123,saved_repo_artifacts,,,
gru_attention,repo_saved::deep,0.614848,0.954016,0.068123,saved_repo_artifacts,,,
deep_average_all,repo_saved::ensemble,0.605853,0.953154,0.066731,saved_repo_artifacts,,,
tcn,repo_saved::deep_existing,0.363498,0.854348,0.147328,saved_repo_artifacts,,,
tcn,repo_saved::deep,0.363498,0.854348,0.147328,saved_repo_artifacts,,,
