model,family,config,screen_train_pr_auc_mean,screen_val_pr_auc_mean,screen_val_pr_auc_std,screen_val_roc_auc_mean,screen_val_brier_mean,screen_overfit_gap,screen_rank_score,suggested_iterations
random_catboost_03,random_search,"{""bootstrap_type"": ""MVS"", ""border_count"": 254, ""depth"": 5, ""iterations"": 1361, ""l2_leaf_reg"": 11.783834970737619, ""learning_rate"": 0.0689830655621721, ""random_strength"": 0.4308858033483449, ""rsm"": 0.8400163011181102, ""subsample"": 0.7300748661310625}",0.720742,0.570908,0.0,0.947362,0.062026,0.149835,0.518466,88
manual_cpu_conservative,manual_expanded,"{""bootstrap_type"": ""Bernoulli"", ""border_count"": 254, ""depth"": 6, ""iterations"": 1600, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03, ""random_strength"": 1.1, ""rsm"": 0.85, ""subsample"": 0.82}",0.673701,0.557477,0.0,0.9442,0.071625,0.116224,0.516798,112
manual_cpu_strong_columnsample,manual_expanded,"{""bagging_temperature"": 1.2, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 7, ""iterations"": 1800, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.025, ""random_strength"": 0.9, ""rsm"": 0.72}",0.696561,0.563307,0.0,0.943202,0.068813,0.133254,0.516668,109
repo_catboost_base,repo_existing_search,"{""bagging_temperature"": 0.5, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 7, ""iterations"": 1200, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",0.758897,0.576156,0.0,0.944279,0.060167,0.182741,0.512197,72
random_catboost_00,random_search,"{""bagging_temperature"": 1.4178235231845648, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 8, ""iterations"": 1906, ""l2_leaf_reg"": 10.973680290593638, ""learning_rate"": 0.06575934093346696, ""random_strength"": 0.2601014914090042, ""rsm"": 0.9926867054910268}",0.776282,0.577095,0.0,0.94471,0.057471,0.199187,0.507379,48
repo_catboost_low_lr,repo_existing_search,"{""bagging_temperature"": 0.8, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 8, ""iterations"": 2000, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.025, ""random_strength"": 0.4}",0.815145,0.587073,0.0,0.943619,0.052712,0.228072,0.507248,139
random_catboost_01,random_search,"{""bootstrap_type"": ""MVS"", ""border_count"": 128, ""depth"": 7, ""iterations"": 1922, ""l2_leaf_reg"": 7.707980242325812, ""learning_rate"": 0.037341292788170825, ""random_strength"": 1.675500481042623, ""rsm"": 0.8931595360241993, ""subsample"": 0.9092351710522908}",0.74546,0.567539,0.0,0.938535,0.062608,0.177921,0.505267,130
manual_cpu_regularized_depth8,manual_expanded,"{""bootstrap_type"": ""Bernoulli"", ""border_count"": 254, ""depth"": 8, ""iterations"": 1500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.03, ""random_strength"": 1.4, ""rsm"": 0.8, ""subsample"": 0.78}",0.731499,0.560629,0.0,0.942096,0.065016,0.170869,0.500825,103
repo_catboost_fast,repo_existing_search,"{""bagging_temperature"": 0.3, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 6, ""iterations"": 900, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.07, ""random_strength"": 0.25}",0.723709,0.555979,0.0,0.943504,0.064981,0.167729,0.497274,49
repo_train_model_baseline,repo_baseline,"{""depth"": 7, ""iterations"": 800, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.05, ""random_strength"": 0.5}",0.730089,0.555423,0.0,0.936871,0.06653,0.174666,0.49429,53
manual_cpu_balanced_depth7,manual_expanded,"{""bootstrap_type"": ""MVS"", ""border_count"": 254, ""depth"": 7, ""iterations"": 1400, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.04, ""random_strength"": 0.8, ""rsm"": 0.9, ""subsample"": 0.9}",0.818308,0.570449,0.0,0.940286,0.049982,0.247859,0.483698,170
repo_catboost_regularized,repo_existing_search,"{""bagging_temperature"": 1.5, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 7, ""iterations"": 1600, ""l2_leaf_reg"": 9.0, ""learning_rate"": 0.04, ""random_strength"": 1.5}",0.732774,0.546528,0.0,0.941308,0.063745,0.186247,0.481341,117
random_catboost_02,random_search,"{""bootstrap_type"": ""Bernoulli"", ""border_count"": 128, ""depth"": 7, ""iterations"": 1476, ""l2_leaf_reg"": 4.6381725610417535, ""learning_rate"": 0.04314428813911502, ""random_strength"": 1.5069729923873896, ""rsm"": 0.8894993197366194, ""subsample"": 0.8943601802196359}",0.686096,0.533944,0.0,0.937686,0.073184,0.152152,0.480691,59
repo_catboost_deep,repo_existing_search,"{""bagging_temperature"": 1.0, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 8, ""iterations"": 1500, ""l2_leaf_reg"": 7.0, ""learning_rate"": 0.035, ""random_strength"": 1.0}",0.691586,0.534893,0.0,0.935894,0.078656,0.156692,0.480051,44
repo_catboost_subsample,repo_existing_search,"{""bootstrap_type"": ""Bernoulli"", ""border_count"": 254, ""depth"": 8, ""iterations"": 1300, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.05, ""random_strength"": 0.7, ""subsample"": 0.85}",0.765228,0.543938,0.0,0.93951,0.060282,0.221291,0.466486,55
